participant_id,age,gender,hearing_problems,speech_problems,years_actively_using_music_tech,frequency_using_music_tech,years_actively_making_music,frequency_making_music,years_actively_singing,frequency_singing
6248007305527296,18,f,False,False,2.0,Once or twice a month,1.0,Once or twice a month,1.0,Once or twice a year
4732466287869952,19,f,False,False,2.0,Once or twice a year,7.0,Once or twice a month,0.0,Never
5207063395303424,19,m,False,False,6.0,Once or twice a week,7.0,More than once or twice a week,11.0,More than once or twice a week
5433951820709888,19,m,False,False,6.0,Once or twice a month,7.0,More than once or twice a week,72.0,Once or twice a week
6217263929622528,19,m,False,False,12.0,More than once or twice a week,4.0,More than once or twice a week,0.0,Never
4680144056745984,20,m,False,False,10.0,Once or twice a week,0.0,Never,0.0,Less than once or twice a year
4783777255522304,20,f,False,False,76.0,Once or twice a month,147.0,More than once or twice a week,147.0,More than once or twice a week
4792479396134912,20,m,False,False,10.0,Never,0.0,Never,0.0,Never
4866397729456128,20,m,False,True,37.0,Less than once or twice a year,0.0,Never,0.0,Never
4893732646158336,20,f,False,False,0.0,Never,9.0,Less than once or twice a year,0.0,Once or twice a week
5486481082679296,20,m,False,False,90.0,More than once or twice a week,35.0,More than once or twice a week,74.0,More than once or twice a week
5665304193531904,20,m,False,False,3.0,Once or twice a month,6.0,Once or twice a week,3.0,More than once or twice a week
6013727576948736,20,f,False,False,0.0,Never,0.0,Never,0.0,More than once or twice a week
6316902607486976,20,m,False,False,0.0,Never,0.0,Less than once or twice a year,9.0,More than once or twice a week
6345891153707008,20,m,False,False,14.0,Once or twice a month,12.0,Less than once or twice a year,0.0,Never
6455894862725120,20,m,False,True,67.0,Once or twice a year,6.0,More than once or twice a week,0.0,Never
4866334043144192,21,m,False,False,0.0,Never,0.0,Never,0.0,More than once or twice a week
5082106220773376,21,m,False,False,0.0,Never,0.0,Never,0.0,Less than once or twice a year
5169916760031232,21,m,False,False,10.0,More than once or twice a week,87.0,More than once or twice a week,87.0,More than once or twice a week
5481482344726528,21,f,False,False,0.0,Never,0.0,Never,3.0,More than once or twice a week
5704147139559424,21,m,False,False,0.0,Never,0.0,Never,0.0,Never
6469122355363840,21,m,False,False,48.0,Once or twice a month,0.0,Never,0.0,Never
6513422124449792,21,f,False,False,0.0,Never,0.0,Never,0.0,More than once or twice a week
6525287642693632,21,m,False,False,0.0,Never,73.0,Less than once or twice a year,7.0,More than once or twice a week
4933154607464448,22,m,False,False,0.0,Never,0.0,Never,0.0,Less than once or twice a year
5065252232232960,22,m,False,False,0.0,Never,0.0,Never,0.0,Never
5108755888865280,22,f,False,False,3.0,Once or twice a year,80.0,Once or twice a year,27.0,Once or twice a week
5117473128972288,22,f,False,False,2.0,Less than once or twice a year,84.0,Never,0.0,Never
5149729272889344,22,m,False,False,3.0,Once or twice a week,98.0,Once or twice a month,98.0,More than once or twice a week
5196101900566528,22,m,False,False,84.0,Once or twice a month,16.0,Once or twice a month,0.0,Never
5678444713082880,22,m,False,False,1.0,Less than once or twice a year,0.0,Never,0.0,Never
5829866469457920,22,m,False,False,38.0,Once or twice a year,68.0,Once or twice a week,1.0,Once or twice a month
5910667689197568,22,m,False,False,0.0,Never,0.0,Never,0.0,Never
5964341157298176,22,f,False,False,0.0,Never,0.0,Never,0.0,Never
6027671590928384,22,m,False,False,0.0,Never,0.0,Never,0.0,Never
6219186867011584,22,m,False,False,0.0,Never,11.0,Once or twice a month,0.0,Never
6438850217902080,22,f,False,False,0.0,Never,0.0,Never,79.0,More than once or twice a week
6512812171984896,22,f,False,False,4.0,Less than once or twice a year,4.0,Less than once or twice a year,7.0,Once or twice a month
6568718888861696,22,m,False,False,0.0,Never,5.0,Once or twice a week,0.0,Never
6575363605921792,22,f,False,False,16.0,Once or twice a year,44.0,Once or twice a week,75.0,Once or twice a week
6684899767484416,22,m,False,False,0.0,Never,0.0,Never,0.0,Never
4652326828638208,23,m,False,False,4.0,Less than once or twice a year,0.0,Never,0.0,Never
4657041293443072,23,f,False,False,0.0,Never,0.0,Never,0.0,Once or twice a week
5083706163200000,23,m,False,False,0.0,Never,0.0,Never,0.0,Never
5201677372096512,23,m,False,False,10.0,Once or twice a week,10.0,Once or twice a year,3.0,Once or twice a year
5288546508210176,23,f,False,True,0.0,Never,0.0,Never,23.0,More than once or twice a week
5371985307631616,23,m,False,False,0.0,Never,0.0,Never,0.0,Never
5372838999490560,23,m,False,False,5.0,Once or twice a month,4.0,Once or twice a week,4.0,Once or twice a month
5437763067314176,23,m,False,False,69.0,Once or twice a week,10.0,Once or twice a week,5.0,Once or twice a week
5633332859633664,23,f,False,False,72.0,Once or twice a year,0.0,Never,0.0,Never
5777902197014528,23,f,False,False,0.0,Once or twice a year,20.0,Once or twice a month,15.0,More than once or twice a week
5826662960726016,23,f,False,False,0.0,Never,0.0,Never,0.0,Never
5918379302977536,23,m,False,False,5.0,Less than once or twice a year,7.0,Once or twice a week,20.0,More than once or twice a week
5975731679002624,23,m,False,False,30.0,Once or twice a year,34.0,More than once or twice a week,36.0,More than once or twice a week
6200285387030528,23,m,False,False,37.0,Less than once or twice a year,49.0,Less than once or twice a year,125.0,More than once or twice a week
6401329853366272,23,m,False,False,1.0,Once or twice a month,3.0,Once or twice a month,3.0,More than once or twice a week
6462218530979840,23,m,False,False,87.0,More than once or twice a week,25.0,Less than once or twice a year,0.0,Never
6485567852249088,23,m,False,True,0.0,Never,8.0,Less than once or twice a year,0.0,Never
6739241505652736,23,m,False,False,0.0,Never,0.0,Never,6.0,Once or twice a week
4517615582052352,24,m,False,False,0.0,Never,0.0,Never,5.0,Once or twice a week
5070199967449088,24,m,False,True,0.0,Never,0.0,Never,0.0,Never
5138140243165184,24,m,False,False,1.0,Once or twice a month,1.0,Once or twice a month,0.0,Never
5144828715204608,24,m,False,False,5.0,Once or twice a year,0.0,Never,0.0,Never
5149588075839488,24,m,False,False,0.0,Never,7.0,Once or twice a week,0.0,Never
5168694908944384,24,m,False,False,0.0,Never,15.0,More than once or twice a week,0.0,Never
5256232248016896,24,f,False,False,0.0,Never,3.0,Less than once or twice a year,0.0,Less than once or twice a year
5486683550121984,24,f,False,False,12.0,Never,2.0,Never,3.0,More than once or twice a week
5629652273987584,24,f,False,False,0.0,Never,0.0,Never,20.0,More than once or twice a week
5640982397714432,24,f,False,False,0.0,Never,0.0,Never,0.0,More than once or twice a week
5698529657880576,24,f,False,False,0.0,Never,0.0,Never,0.0,Once or twice a month
5716463897804800,24,f,False,False,38.0,Once or twice a month,25.0,Once or twice a month,0.0,Never
5729201025974272,24,m,False,False,1.0,Once or twice a week,0.0,Never,0.0,Once or twice a year
5757487680585728,24,m,False,False,5.0,Once or twice a month,104.0,Once or twice a year,0.0,Once or twice a week
5830198792552448,24,f,False,False,0.0,Never,62.0,More than once or twice a week,20.0,More than once or twice a week
5850057446260736,24,f,False,False,0.0,Never,0.0,Never,0.0,Never
5967946916560896,24,m,False,False,3.0,Once or twice a month,7.0,Once or twice a month,10.0,More than once or twice a week
6104506341261312,24,m,False,False,43.0,More than once or twice a week,0.0,More than once or twice a week,102.0,More than once or twice a week
6421399228907520,24,m,False,False,80.0,More than once or twice a week,4.0,Once or twice a month,2.0,Once or twice a week
6571512630870016,24,f,False,False,0.0,Never,0.0,Never,20.0,More than once or twice a week
4515045446778880,25,m,False,False,9.0,Less than once or twice a year,8.0,Once or twice a week,9.0,Once or twice a month
4751985840488448,25,m,False,False,5.0,More than once or twice a week,15.0,More than once or twice a week,6.0,Once or twice a week
4785227343855616,25,f,False,False,0.0,Never,0.0,Never,0.0,More than once or twice a week
4850734990360576,25,m,False,False,10.0,Once or twice a week,2.0,Once or twice a week,0.0,Never
5082529006616576,25,m,False,False,101.0,More than once or twice a week,75.0,Once or twice a week,10.0,More than once or twice a week
5157903266742272,25,f,False,False,0.0,Never,0.0,Never,0.0,Never
5205061202345984,25,m,False,False,3.0,Once or twice a month,3.0,Once or twice a month,1.0,Once or twice a month
5318211042017280,25,f,False,False,0.0,Never,0.0,Never,106.0,More than once or twice a week
5500405433761792,25,f,False,False,0.0,Never,102.0,Once or twice a month,0.0,Once or twice a week
5542844542484480,25,f,False,False,15.0,More than once or twice a week,5.0,More than once or twice a week,5.0,More than once or twice a week
5668753656250368,25,f,False,False,12.0,Once or twice a year,5.0,Once or twice a year,1.0,Once or twice a year
5712349319135232,25,m,False,False,0.0,Less than once or twice a year,0.0,Once or twice a year,0.0,Never
5718080416120832,25,f,False,False,5.0,Once or twice a year,15.0,Less than once or twice a year,0.0,Never
5741004535627776,25,m,False,False,0.0,Never,0.0,Never,0.0,Never
5769015641243648,25,m,False,False,0.0,Never,0.0,Never,0.0,Never
5943544321671168,25,f,False,False,0.0,Never,0.0,Never,0.0,Less than once or twice a year
5950567532724224,25,f,False,False,1.0,Once or twice a month,4.0,Less than once or twice a year,15.0,More than once or twice a week
5961611772690432,25,f,False,False,0.0,Never,0.0,Never,0.0,Never
6409279032524800,25,f,False,False,24.0,Less than once or twice a year,24.0,Less than once or twice a year,0.0,More than once or twice a week
6433509090525184,25,f,False,False,10.0,Once or twice a month,10.0,Once or twice a month,0.0,Never
6451474401853440,25,m,False,False,0.0,Once or twice a month,0.0,Less than once or twice a year,0.0,Never
4692761529810944,26,f,True,False,0.0,Never,0.0,Never,0.0,Never
4888383801262080,26,f,False,False,3.0,Once or twice a month,3.0,More than once or twice a week,3.0,Once or twice a week
5042433205207040,26,f,False,False,1.0,Less than once or twice a year,0.0,Never,0.0,Once or twice a year
5174714574045184,26,m,False,False,0.0,Never,0.0,Never,0.0,Never
5177924793663488,26,m,False,False,0.0,Never,22.0,More than once or twice a week,0.0,Less than once or twice a year
5389827809738752,26,m,False,False,20.0,More than once or twice a week,2.0,Less than once or twice a year,20.0,More than once or twice a week
5639253606268928,26,f,False,False,70.0,More than once or twice a week,34.0,More than once or twice a week,32.0,Once or twice a month
5658894894366720,26,m,False,False,3.0,Once or twice a year,3.0,Once or twice a month,39.0,Once or twice a week
5757736318926848,26,m,False,False,4.0,Once or twice a month,4.0,Once or twice a month,3.0,Once or twice a week
5767281011326976,26,f,False,False,20.0,Once or twice a month,3.0,Less than once or twice a year,20.0,More than once or twice a week
5853488051388416,26,m,False,False,25.0,Once or twice a week,53.0,More than once or twice a week,0.0,Never
5937382117343232,26,m,False,False,10.0,More than once or twice a week,0.0,Never,20.0,More than once or twice a week
6277092689838080,26,m,False,False,38.0,Once or twice a week,38.0,Once or twice a week,10.0,More than once or twice a week
6289260265078784,26,m,False,False,0.0,Less than once or twice a year,0.0,Never,0.0,Never
6295860488962048,26,m,False,False,5.0,Once or twice a month,10.0,Once or twice a year,10.0,Once or twice a week
6380671731761152,26,m,False,False,25.0,Once or twice a year,73.0,Less than once or twice a year,74.0,Less than once or twice a year
6463185167056896,26,f,False,False,0.0,Never,0.0,Never,0.0,Less than once or twice a year
6587998258855936,26,m,False,False,72.0,Once or twice a year,6.0,Once or twice a year,0.0,Never
4843499111317504,27,m,False,False,2.0,Less than once or twice a year,1.0,Less than once or twice a year,1.0,Less than once or twice a year
4919319511171072,27,f,False,False,0.0,Never,0.0,Never,0.0,Less than once or twice a year
5083289484263424,27,m,False,False,10.0,Once or twice a week,0.0,Never,25.0,Once or twice a week
5283819359830016,27,f,False,False,25.0,Once or twice a year,2.0,Never,0.0,Never
5659793079402496,27,f,False,False,0.0,Never,0.0,Never,0.0,Never
5667113112961024,27,m,False,False,0.0,Never,0.0,Never,0.0,Less than once or twice a year
5670568615477248,27,f,False,False,0.0,Never,0.0,Never,0.0,Never
5702479685615616,27,f,False,False,5.0,Once or twice a year,0.0,Less than once or twice a year,7.0,Once or twice a week
5820900993662976,27,m,False,False,0.0,Never,72.0,Once or twice a week,72.0,Once or twice a week
5830738146492416,27,f,False,False,0.0,Never,0.0,Never,0.0,Once or twice a year
5833329823711232,27,m,False,False,74.0,More than once or twice a week,68.0,More than once or twice a week,68.0,More than once or twice a week
5970888767832064,27,f,False,False,40.0,Once or twice a week,27.0,More than once or twice a week,40.0,More than once or twice a week
6009057135558656,27,m,False,False,74.0,Less than once or twice a year,74.0,Less than once or twice a year,65.0,More than once or twice a week
6428089445777408,27,f,False,False,3.0,Once or twice a year,0.0,Never,38.0,More than once or twice a week
6477244339847168,27,f,False,True,0.0,Never,0.0,Never,0.0,Never
4574580672823296,28,f,False,False,73.0,Once or twice a month,18.0,Once or twice a week,24.0,More than once or twice a week
4660930252111872,28,m,False,False,0.0,Never,18.0,Once or twice a week,5.0,Once or twice a month
4789354807427072,28,m,False,False,1.0,Once or twice a month,2.0,Less than once or twice a year,5.0,Once or twice a month
4888143618637824,28,f,False,False,84.0,Once or twice a year,2.0,Less than once or twice a year,9.0,More than once or twice a week
4918822905577472,28,m,False,False,0.0,Less than once or twice a year,0.0,Less than once or twice a year,0.0,Never
4920323661103104,28,m,False,False,0.0,Never,0.0,Never,0.0,Never
5136269650690048,28,m,False,False,72.0,Less than once or twice a year,3.0,Once or twice a month,3.0,Less than once or twice a year
5407938814410752,28,f,False,False,0.0,Never,0.0,Never,0.0,Never
5430754821537792,28,m,False,False,75.0,Once or twice a month,74.0,Once or twice a month,76.0,More than once or twice a week
5487725079691264,28,f,False,False,0.0,Never,0.0,Never,0.0,Never
5634985281191936,28,m,False,False,9.0,Once or twice a year,13.0,Once or twice a week,13.0,More than once or twice a week
5659118702428160,28,m,False,False,0.0,Never,0.0,Never,20.0,More than once or twice a week
5731015045677056,28,m,False,False,4.0,Less than once or twice a year,70.0,Once or twice a week,75.0,More than once or twice a week
5873736272052224,28,m,False,False,0.0,Once or twice a week,0.0,Once or twice a week,0.0,More than once or twice a week
6008864868663296,28,f,False,False,0.0,Never,10.0,Less than once or twice a year,0.0,Never
6325180418752512,28,m,False,False,1.0,Once or twice a year,3.0,Less than once or twice a year,7.0,Once or twice a week
6476784979673088,28,m,False,False,48.0,Less than once or twice a year,75.0,Once or twice a year,17.0,Once or twice a month
6483678536400896,28,f,False,False,0.0,Never,0.0,Never,0.0,Never
6603066816069632,28,f,False,False,0.0,Never,0.0,Never,0.0,More than once or twice a week
6724740890755072,28,m,False,False,1.0,Less than once or twice a year,132.0,Never,10.0,Less than once or twice a year
4622392785633280,29,m,False,False,0.0,Never,0.0,Never,0.0,Never
4784767782354944,29,f,False,False,30.0,Once or twice a month,48.0,Once or twice a month,72.0,More than once or twice a week
4878923666030592,29,m,False,False,5.0,More than once or twice a week,15.0,Once or twice a week,25.0,Once or twice a week
4881426558222336,29,m,True,True,2.0,Once or twice a year,0.0,Once or twice a year,3.0,Once or twice a month
4907275282022400,29,m,False,False,0.0,Never,0.0,Never,0.0,Once or twice a year
5122011567226880,29,m,False,False,15.0,Once or twice a month,77.0,Once or twice a month,75.0,Once or twice a week
5149218708652032,29,f,False,False,0.0,Never,0.0,Never,0.0,Never
5162772954349568,29,f,False,False,12.0,Less than once or twice a year,0.0,Less than once or twice a year,0.0,Once or twice a month
5215103574081536,29,m,False,False,5.0,Once or twice a month,22.0,Once or twice a week,2.0,Once or twice a year
5367727988408320,29,f,False,False,0.0,Never,0.0,Never,0.0,Never
5670405876482048,29,m,False,False,15.0,Once or twice a month,0.0,Never,0.0,Never
5683406138507264,29,f,False,False,24.0,Less than once or twice a year,0.0,Never,15.0,Once or twice a week
5688716597133312,29,m,False,False,10.0,More than once or twice a week,10.0,More than once or twice a week,10.0,More than once or twice a week
5707532110659584,29,m,False,False,0.0,Never,0.0,Never,15.0,Once or twice a week
5730634941071360,29,m,False,False,12.0,Once or twice a week,4.0,Never,2.0,Never
5745111329669120,29,m,False,False,80.0,More than once or twice a week,43.0,More than once or twice a week,27.0,More than once or twice a week
5745865499082752,29,f,False,False,0.0,Never,0.0,Never,0.0,Never
5937113413451776,29,m,False,False,0.0,Never,0.0,Never,0.0,Never
6088856755503104,29,f,False,False,14.0,Less than once or twice a year,10.0,Less than once or twice a year,4.0,Less than once or twice a year
6226078947344384,29,f,False,False,0.0,Never,0.0,Never,0.0,Less than once or twice a year
6291707255586816,29,f,False,False,17.0,Once or twice a week,20.0,Once or twice a week,25.0,More than once or twice a week
6297742624161792,29,f,False,False,0.0,Never,0.0,Never,0.0,Once or twice a week
6302528425689088,29,m,False,False,1.0,Once or twice a year,0.0,Less than once or twice a year,1.0,Once or twice a year
6593752978161664,29,m,False,False,0.0,Never,0.0,Never,0.0,Never
4589928805564416,30,m,False,False,15.0,More than once or twice a week,0.0,Never,14.0,More than once or twice a week
4902656044695552,30,f,False,False,3.0,Once or twice a month,3.0,Once or twice a year,15.0,More than once or twice a week
4924368513662976,30,m,False,False,15.0,Once or twice a month,12.0,More than once or twice a week,0.0,Less than once or twice a year
4982315608440832,30,m,False,False,36.0,Once or twice a year,3.0,Once or twice a month,0.0,Never
5148362265329664,30,m,False,False,0.0,Never,0.0,Never,0.0,Never
5152971570544640,30,m,False,False,2.0,Less than once or twice a year,22.0,Once or twice a year,0.0,Less than once or twice a year
5223247503163392,30,m,False,False,0.0,Never,0.0,Never,0.0,Never
5247508095696896,30,f,False,False,0.0,Never,0.0,Never,20.0,More than once or twice a week
5461871725379584,30,f,True,False,0.0,Never,0.0,Never,20.0,Once or twice a week
5513208597053440,30,f,False,False,0.0,Never,0.0,Never,0.0,Once or twice a week
5684961520648192,30,f,False,False,0.0,Never,0.0,Never,0.0,Never
5699349795307520,30,m,False,True,0.0,Never,0.0,Never,0.0,Never
5731253819015168,30,f,False,False,0.0,Never,0.0,Never,0.0,Never
5846556511043584,30,f,False,False,88.0,Once or twice a month,28.0,Once or twice a month,0.0,Never
5958778637778944,30,f,False,False,0.0,Never,0.0,Never,0.0,Never
6109253152538624,30,f,False,False,0.0,Never,0.0,Never,30.0,More than once or twice a week
6216280315002880,30,m,False,False,15.0,More than once or twice a week,0.0,Never,0.0,Never
6222772225179648,30,f,False,False,44.0,Once or twice a week,84.0,Once or twice a week,92.0,More than once or twice a week
6373408002539520,30,f,False,False,3.0,Once or twice a year,1.0,Less than once or twice a year,1.0,More than once or twice a week
6522630601441280,30,m,False,False,2.0,Once or twice a year,0.0,Never,0.0,Never
4665962007625728,31,m,False,False,103.0,Never,0.0,Never,0.0,Once or twice a month
4666692756045824,31,f,False,False,0.0,Never,0.0,Never,0.0,Never
4794042361577472,31,m,False,False,5.0,Once or twice a month,5.0,Once or twice a month,5.0,Once or twice a month
4818118203408384,31,m,False,False,0.0,Never,0.0,Never,0.0,Never
4820957512335360,31,f,False,False,0.0,Never,0.0,Never,132.0,More than once or twice a week
4896775294943232,31,m,False,False,109.0,More than once or twice a week,21.0,More than once or twice a week,68.0,Once or twice a week
4914660411179008,31,f,False,False,0.0,Never,72.0,Never,25.0,More than once or twice a week
5096377122029568,31,m,False,False,0.0,Never,2.0,Once or twice a month,24.0,More than once or twice a week
5255353725878272,31,m,False,False,3.0,Once or twice a month,5.0,More than once or twice a week,0.0,Less than once or twice a year
5383821230866432,31,f,False,False,0.0,Never,20.0,More than once or twice a week,30.0,More than once or twice a week
5407080089387008,31,m,False,False,74.0,Once or twice a year,3.0,Once or twice a year,0.0,Never
5445914915241984,31,f,False,False,0.0,Never,0.0,Never,0.0,Never
5450837216198656,31,m,False,False,78.0,Once or twice a month,15.0,Once or twice a week,15.0,Once or twice a week
5572119911989248,31,m,False,False,1.0,Less than once or twice a year,0.0,Never,72.0,Once or twice a year
5603345196646400,31,m,False,False,2.0,Once or twice a month,4.0,Once or twice a month,0.0,Never
5642906408845312,31,m,False,False,1.0,Once or twice a year,0.0,Less than once or twice a year,0.0,Never
5713106038685696,31,m,False,False,73.0,Once or twice a month,4.0,Once or twice a year,0.0,Never
5761569644347392,31,f,False,False,0.0,Never,0.0,Never,30.0,Once or twice a week
